Song Name,Total Minutes,Plays,target_plays,Predicted Plays
"almost there - from ""the princess and the frog"" / soundtrack version",88.98431666666666,38,2.0,1.9727597730974011
beautiful people  - notd remix,91.84591666666667,34,2.0,1.8269579290133966
all yours,131.35611666666668,41,2.0,1.7575418120076747
revolution,173.71623333333332,35,1.0,1.7575418120076747
wild side  - extended version,186.50131666666667,48,2.0,1.7575418120076747
luther,260.20318333333336,86,3.0,1.7575418120076747
love u better,241.65655,59,2.0,1.7575418120076747
gotta go,140.80068333333332,42,2.0,1.7575418120076747
good graces,151.18146666666667,41,1.0,1.7575418120076747
thunderstruck,246.91969999999998,55,2.0,1.7575418120076747
